seq_a,seq_b,trick_win_pct,trick_tie_pct,card_win_pct,card_tie_pct
BBB,BBB,100,0,100,0
BBB,BBR,40,15,47,2
BBB,BRB,21,12,28,2
BBB,BRR,11,12,18,2
BBB,RBB,0,0,0,0
BBB,RBR,17,14,25,2
BBB,RRB,1,2,1,0
BBB,RRR,32,35,49,3
BBR,BBB,44,15,51,2
BBR,BBR,100,0,100,0
BBR,BRB,80,8,86,1
BBR,BRR,88,7,96,1
BBR,RBB,3,4,0,0
BBR,RBR,79,9,92,1
BBR,RRB,41,18,48,4
BBR,RRR,97,2,99,0
BRB,BBB,66,12,71,2
BRB,BBR,12,8,12,1
BRB,BRB,100,0,100,0
BRB,BRR,43,14,49,3
BRB,RBB,42,13,42,2
BRB,RBR,41,19,49,2
BRB,RRB,11,9,7,1
BRB,RRR,69,14,73,2
BRR,BBB,77,12,80,2
BRR,BBR,5,7,4,1
BRR,BRB,43,14,49,3
BRR,BRR,100,0,100,0
BRR,RBB,43,14,49,3
BRR,RBR,44,13,56,2
BRR,RRB,94,4,100,0
BRR,RRR,99,0,100,0
RBB,BBB,99,0,100,0
RBB,BBR,94,4,100,0
RBB,BRB,44,13,56,2
RBB,BRR,43,14,49,3
RBB,RBB,100,0,100,0
RBB,RBR,43,14,49,3
RBB,RRB,5,7,4,1
RBB,RRR,77,12,80,2
RBR,BBB,69,14,73,2
RBR,BBR,11,9,7,1
RBR,BRB,41,19,49,2
RBR,BRR,42,13,42,2
RBR,RBB,43,14,49,3
RBR,RBR,100,0,100,0
RBR,RRB,12,8,12,1
RBR,RRR,66,12,71,2
RRB,BBB,97,2,99,0
RRB,BBR,41,18,48,4
RRB,BRB,79,9,92,1
RRB,BRR,3,4,0,0
RRB,RBB,88,7,96,1
RRB,RBR,80,8,86,1
RRB,RRB,100,0,100,0
RRB,RRR,44,15,51,2
RRR,BBB,33,35,49,3
RRR,BBR,1,2,1,0
RRR,BRB,17,14,25,2
RRR,BRR,0,0,0,0
RRR,RBB,11,12,18,2
RRR,RBR,21,12,28,2
RRR,RRB,40,15,47,2
RRR,RRR,100,0,100,0
